15:20:43.080 [http-nio-8080-exec-1] INFO  o.e.auditlib.httplog.LoggingFilter - endpoint: /contractor/1 | method: GET | request body: empty | status code: 400 | responseBody: {"error":"not found contractor with id = 1"}
15:37:39.233 [main] INFO  o.e.auditlib.httplog.LoggingFilter - endpoint: /contractor/id_test | method: GET | request body: empty | status code: 200 | responseBody: {"id":"id_test","parent_id":null,"name":"name_test","name_full":"name_full_test","inn":"inn_test","ogrn":"ogrn_test","country":{"id":"RUS","name":"￐ﾠ￐ﾾ￑ﾁ￑ﾁ￐ﾸ￐ﾹ￑ﾁ￐ﾺ￐ﾰ￑ﾏ ￐ﾤ￐ﾵ￐ﾴ￐ﾵ￑ﾀ￐ﾰ￑ﾆ￐ﾸ￑ﾏ"},"industry":{"id":1,"name":"￐ﾐ￐ﾲ￐ﾸ￐ﾰ￑ﾁ￑ﾂ￑ﾀ￐ﾾ￐ﾵ￐ﾽ￐ﾸ￐ﾵ"},"org_form":{"id":1,"name":"-"}}
15:37:39.261 [main] INFO  o.e.auditlib.httplog.LoggingFilter - endpoint: /contractor/id_test | method: DELETE | request body: empty | status code: 405 | responseBody: empty
22:45:09.224 [http-nio-8080-exec-2] INFO  o.e.auditlib.httplog.LoggingFilter - endpoint: /contractor/search | method: POST | request body: {"name_full":"name_full_test","inn":"inn_test","country":{"name":"Ð¤ÐµÐ´"},"industry":{"id":1,"name":"ÐÐ²Ð¸Ð°ÑÑÑÐ¾ÐµÐ½Ð¸Ðµ"}} | status code: 200 | responseBody: [{"id":"id_test","parent_id":null,"name":"name_test","name_full":"name_full_test","inn":"inn_test","ogrn":"ogrn_test","country":{"id":"RUS","name":"￐ﾠ￐ﾾ￑ﾁ￑ﾁ￐ﾸ￐ﾹ￑ﾁ￐ﾺ￐ﾰ￑ﾏ ￐ﾤ￐ﾵ￐ﾴ￐ﾵ￑ﾀ￐ﾰ￑ﾆ￐ﾸ￑ﾏ"},"industry":{"id":1,"name":"￐ﾐ￐ﾲ￐ﾸ￐ﾰ￑ﾁ￑ﾂ￑ﾀ￐ﾾ￐ﾵ￐ﾽ￐ﾸ￐ﾵ"},"org_form":{"id":1,"name":"-"}}]
22:45:49.531 [main] INFO  o.e.auditlib.httplog.LoggingFilter - endpoint: /contractor/id_test | method: GET | request body: empty | status code: 200 | responseBody: {"id":"id_test","parent_id":null,"name":"name_test","name_full":"name_full_test","inn":"inn_test","ogrn":"ogrn_test","country":{"id":"RUS","name":"￐ﾠ￐ﾾ￑ﾁ￑ﾁ￐ﾸ￐ﾹ￑ﾁ￐ﾺ￐ﾰ￑ﾏ ￐ﾤ￐ﾵ￐ﾴ￐ﾵ￑ﾀ￐ﾰ￑ﾆ￐ﾸ￑ﾏ"},"industry":{"id":1,"name":"￐ﾐ￐ﾲ￐ﾸ￐ﾰ￑ﾁ￑ﾂ￑ﾀ￐ﾾ￐ﾵ￐ﾽ￐ﾸ￐ﾵ"},"org_form":{"id":1,"name":"-"}}
22:45:49.591 [main] INFO  o.e.auditlib.httplog.LoggingFilter - endpoint: /contractor/search | method: POST | request body: { | status code: 415 | responseBody: empty
22:49:24.667 [main] INFO  o.e.auditlib.httplog.LoggingFilter - endpoint: /contractor/id_test | method: GET | request body: empty | status code: 200 | responseBody: {"id":"id_test","parent_id":null,"name":"name_test","name_full":"name_full_test","inn":"inn_test","ogrn":"ogrn_test","country":{"id":"RUS","name":"￐ﾠ￐ﾾ￑ﾁ￑ﾁ￐ﾸ￐ﾹ￑ﾁ￐ﾺ￐ﾰ￑ﾏ ￐ﾤ￐ﾵ￐ﾴ￐ﾵ￑ﾀ￐ﾰ￑ﾆ￐ﾸ￑ﾏ"},"industry":{"id":1,"name":"￐ﾐ￐ﾲ￐ﾸ￐ﾰ￑ﾁ￑ﾂ￑ﾀ￐ﾾ￐ﾵ￐ﾽ￐ﾸ￐ﾵ"},"org_form":{"id":1,"name":"-"}}
22:49:24.715 [main] INFO  o.e.auditlib.httplog.LoggingFilter - endpoint: /contractor/search | method: POST | request body: { | status code: 415 | responseBody: empty
22:51:03.683 [main] INFO  o.e.auditlib.httplog.LoggingFilter - endpoint: /contractor/id_test | method: GET | request body: empty | status code: 200 | responseBody: {"id":"id_test","parent_id":null,"name":"name_test","name_full":"name_full_test","inn":"inn_test","ogrn":"ogrn_test","country":{"id":"RUS","name":"￐ﾠ￐ﾾ￑ﾁ￑ﾁ￐ﾸ￐ﾹ￑ﾁ￐ﾺ￐ﾰ￑ﾏ ￐ﾤ￐ﾵ￐ﾴ￐ﾵ￑ﾀ￐ﾰ￑ﾆ￐ﾸ￑ﾏ"},"industry":{"id":1,"name":"￐ﾐ￐ﾲ￐ﾸ￐ﾰ￑ﾁ￑ﾂ￑ﾀ￐ﾾ￐ﾵ￐ﾽ￐ﾸ￐ﾵ"},"org_form":{"id":1,"name":"-"}}
22:51:03.833 [main] INFO  o.e.auditlib.httplog.LoggingFilter - endpoint: /contractor/search | method: POST | request body: {"id":null,"parent_id":null,"name":null,"name_full":"name_full_test","inn":"inn_test","ogrn":null,"country":{"id":null,"name":"Ð¤ÐµÐ´"},"industry":{"id":1,"name":"ÐÐ²Ð¸Ð°ÑÑÑÐ¾ÐµÐ½Ð¸Ðµ"},"org_form":null} | status code: 200 | responseBody: [{"id":"id_test","parent_id":null,"name":"name_test","name_full":"name_full_test","inn":"inn_test","ogrn":"ogrn_test","country":{"id":"RUS","name":"￐ﾠ￐ﾾ￑ﾁ￑ﾁ￐ﾸ￐ﾹ￑ﾁ￐ﾺ￐ﾰ￑ﾏ ￐ﾤ￐ﾵ￐ﾴ￐ﾵ￑ﾀ￐ﾰ￑ﾆ￐ﾸ￑ﾏ"},"industry":{"id":1,"name":"￐ﾐ￐ﾲ￐ﾸ￐ﾰ￑ﾁ￑ﾂ￑ﾀ￐ﾾ￐ﾵ￐ﾽ￐ﾸ￐ﾵ"},"org_form":{"id":1,"name":"-"}}]
22:53:31.721 [main] INFO  o.e.auditlib.httplog.LoggingFilter - endpoint: /contractor/id_test | method: GET | request body: empty | status code: 200 | responseBody: {"id":"id_test","parent_id":null,"name":"name_test","name_full":"name_full_test","inn":"inn_test","ogrn":"ogrn_test","country":{"id":"RUS","name":"￐ﾠ￐ﾾ￑ﾁ￑ﾁ￐ﾸ￐ﾹ￑ﾁ￐ﾺ￐ﾰ￑ﾏ ￐ﾤ￐ﾵ￐ﾴ￐ﾵ￑ﾀ￐ﾰ￑ﾆ￐ﾸ￑ﾏ"},"industry":{"id":1,"name":"￐ﾐ￐ﾲ￐ﾸ￐ﾰ￑ﾁ￑ﾂ￑ﾀ￐ﾾ￐ﾵ￐ﾽ￐ﾸ￐ﾵ"},"org_form":{"id":1,"name":"-"}}
